id,evidence,claim,label,topic_ip,question
5796,"While it remains much too early to determine precisely how alcohol use might affect risk for or progression of COVID19, any efforts to connect the dots from past alcohol research would suggest it wise for nondrinkers and lowrisk drinkers to maintain that status during this public health crisis.",Drinking Alcohol Will Not Protect You From Coronavirus,Supports,55,Can drinking alcohol help in preventing COVID-19?
9270,Dietary supplementation has not been linked to COVID-19 prevention.,vitamin D3 is showing impressive effects in buffering the severity of COVID-19 infections,Refutes,101,Can I take any vitamins or supplements to prevent COVID-19?
10082,"Cellular angiotensin converting enzyme 2 (ACE2) is the receptor of SARS-CoV-2 which is identical or similar in different species of animals such as pigs, ferrets, cats, orangutans, monkeys, and humans. Moreover, a recent study predicted that dog might be secondary host during the evolution of SARS-CoV-2 from bat to human.",Can pets get the coronavirus disease? The short answer is YES,Supports,134,Can pets get the coronavirus disease?
2495,Gustatory Dysfunction as an Early Symptom in COVID-19 Screening,"Early symptoms in most COVID-19 patients include fever, myalgia, cough, and sore throat (5), which are common in other acute respiratory virus infections",Refutes,26,what are the early symptoms of COVID-19?
12583,"Distinguishing pre-existing and de novo antibody responses to SARS-CoV-2 will be critical for serology, seroprevalence and vaccine studies, as well as for our understanding of susceptibility to and natural course of SARS-CoV-2 infection.","In many patients hospitalized with the coronavirus, the immune system is threatened by a depletion of certain essential cells, suggesting eerie parallels with H.I.V.",Neutral,3,will SARS-CoV2 infected people develop immunity?
5369,"In late December 2019 in Wuhan, China, several patients with viral pneumonia were identified as 2019 novel coronavirus (2019-nCoV). So far, there are no specific treatments for patients with coronavirus disease-19 (COVID-19), and the treatments available today are based on previous experience with similar viruses such as severe acute respiratory syndrome-related coronavirus (SARS-CoV), Middle East respiratory syndrome coronavirus (MERS-CoV), and Influenza virus.",Colloidal silver can cure COVID-19,Refutes,52,Does garlic protect against covid-19
6695,"Cellular angiotensin converting enzyme 2 (ACE2) is the receptor of SARS-CoV-2 which is identical or similar in different species of animals such as pigs, ferrets, cats, orangutans, monkeys, and humans. Moreover, a recent study predicted that dog might be secondary host during the evolution of SARS-CoV-2 from bat to human. Therefore, there is a possibility of spreading SARS-CoV-2 through domestic pets.",cats and dogs can get the coronavirus but are unlikely to get sick.,Supports,67,Can animals spread COVID-19?
13472,"Based on animal experiments, already acquired data on other coronavirus types and plausibility assumptions, it can be assumed that seroconverted patients have an immunity of limited duration and only a very low risk of reinfection.",having serious COVID-19 symptoms and taking medications to treat the disease may have negative effects on the liver.,Neutral,3,will SARS-CoV2 infected people develop immunity?
3869,"Several studies demonstrated the role of vitamin D in reducing the risk of acute viral respiratory tract infections and pneumonia. These include direct inhibition with viral replication or with anti-inflammatory or immunomodulatory ways. In the meta-analysis, vitamin D supplementation has been shown as safe and effective against acute respiratory tract infections. Thus, people who are at higher risk of vitamin D deficiency during this global pandemic should consider taking vitamin D supplements to maintain the circulating 25(OH)D in the optimal levels (75-125nmol/L).","Your normal body temperature remains the same, regardless of the temperature of your bath or shower.",Neutral,42,Does Vitamin D impact COVID-19 prevention and treatment?
4716,"We identified a total of 17 patients who received IV vitamin C for COVID-19. The inpatient mortality rate in this series was 12% with 17.6% rates of intubation and mechanical ventilation. We noted a significant decrease in inflammatory markers, including ferritin and D-dimer, and a trend to decreasing FiO2 requirements, after vitamin C administration. ",My advice would be to take those vitamin K supplements to cure covid-19,Neutral,51,Does Vitamin C impact COVID-19 prevention and treatment?
1142,"In the southern cities, the ambient temperature and air pollution have a negative interactive effect on COVID-19 transmission, implying that rising temperature restrains the facilitating effects of air pollution and that they jointly lead to a decrease in new confirmed cases.",outbreaks of the new coronavirus will wane as temperatures rise.,Supports,2,how does the coronavirus respond to changes in the weather
3412,"A principal defence against uncontrolled inflammation, and against viral infection in general, is provided by T regulatory lymphocytes (Tregs). Treg levels have been reported to be low in many COVID-19 patients and can be increased by vitamin D supplementation. Low vitamin D levels have been associated with an increase in inflammatory cytokines and a significantly increased risk of pneumonia and viral upper respiratory tract infections. Vitamin D deficiency is associated with an increase in thrombotic episodes, which are frequently observed in COVID-19. Vitamin D deficiency has been found to occur more frequently in patients with obesity and diabetes. These conditions are reported to carry a higher mortality in COVID-19. If vitamin D does in fact reduce the severity of COVID-19 in regard to pneumonia/ARDS, inflammation, inflammatory cytokines and thrombosis, it is our opinion that supplements would offer a relatively easy option to decrease the impact of the pandemic.","Does vitamin D help protect against COVID-19? A: Some scientists have hypothesized vitamin D might be helpful, but there is no direct evidence that vitamin D can prevent COVID-19 ",Supports,42,Does Vitamin D impact COVID-19 prevention and treatment?
836,"These results provide evidence for the relationship between several weather variables and the spread of COVID-19. However, the (conservatively) estimated relationships are not strong enough to seasonally control the epidemic in most locations.",Coronavirus may be more severe in colder months than warmer ones,Refutes,2,how does the coronavirus respond to changes in the weather
12714,"Distinguishing pre-existing and de novo antibody responses to SARS-CoV-2 will be critical for serology, seroprevalence and vaccine studies, as well as for our understanding of susceptibility to and natural course of SARS-CoV-2 infection.",Even younger people may experience a similar pattern of severe disease as older people,Neutral,3,will SARS-CoV2 infected people develop immunity?
5485,"Face masks are an avenue to curb the spread of coronavirus, but few people in Western societies wear face masks.",Cloth masks offer no protection from COVID-19,Refutes,53,Can wearing masks help in preventing the spread of the coronavirus disease?
6019,The aim of this study is to develop an understanding of the drivers of the 5G COVID-19 conspiracy theory and strategies to deal with such misinformation. ,COVID-19 is fake and that the pandemic is part of a wider conspiracy to deploy 5G network towers,Refutes,56,Can 5G technology cause COVID-19?
8263,It would therefore be reasonable to suggest that consistent widespread use of face masks in the community could prevent further spread of the Severe Acute Respiratory Syndrome-Coronavirus 2 (SARS-CoV-2).,"The virus spreads by respiratory droplets released when someone infected with the virus coughs, sneezes or talks. These droplets can be inhaled or land in the mouth or nose of a person nearby.",Neutral,82,Can face masks protect me from the coronavirus disease?
11944,"Cardiovascular complications were mainly observed in the confirmed COVID-19+group, consisting of heart failure (9%), palpitations/arrhythmias (3%), stroke/TIA (3%) and pulmonary hypertension (3%). Cardiovascular symptoms such as chest pain (1%), myocardial injury (1%) and pericardial effusion (1%) were also recorded.","hydroxychloroquine may cause direct myocardial toxicity and worsen cardiomyopathy, a problem that can lead to heart failure.",Neutral,22,are heart complications likely in patients with COVID-19?
4659,"We identified a total of 17 patients who received IV vitamin C for COVID-19. The inpatient mortality rate in this series was 12% with 17.6% rates of intubation and mechanical ventilation. We noted a significant decrease in inflammatory markers, including ferritin and D-dimer, and a trend to decreasing FiO2 requirements, after vitamin C administration. ",there is no evidence to suggest that handling food or consuming food is associated with COVID-19.,Neutral,51,Does Vitamin C impact COVID-19 prevention and treatment?
1117,Temperature is the most influential parameter that reduces the growth at the rate of 13-16 cases/day with a 1{degrees}C rise in temperature,"there is no reason to believe cold weather can kill the new coronavirus  or other diseases, for that matter.",Supports,2,how does the coronavirus respond to changes in the weather
7398,It was recently suggested that Ibuprofen might increase the risk for severe and fatal COVID-19 disease and should therefore be avoided in this patient population.,"there is no scientifc evidence that ibuprofen and other drugs like it, can make you sicker if you have covid-19",Refutes,69,"Can taking medication to lower fever, such as paracetamol (tylenol) and ibuprofen (advil) worsen COVID-19?"
9989,Corona Virus Disease-2019 (COVID-19) has spread widely throughout the world since the end of 2019. Nucleic acid testing (NAT) has played an important role in patient diagnosis and management of COVID-19.,Air Conditioning May Be Spreading COVID,Neutral,129,Does heat prevent COVID-19?
11840,"We estimate an overall infection fatality rate of 1.29% (95% credible interval [CrI] 0.89 - 2.01), as well as large differences by age, with a low infection fatality rate of 0.05% for under 60 year old (CrI 0-.19) and a substantially higher 4.25% (CrI 3.01-6.39) for people above 60 years of age.","Coronavirus and COVID-19: Younger Adults Are at Risk, Too",Supports,21,what are the mortality rates overall and in specific populations
13598,Thus both qualitative and quantitative features of B and T cell immunity to spike constitute informative biomarkers of the protective potential of novel SARS-CoV-2 vaccines.,Coronaviruses are transmitted between humans and animals -- that's the zoo in zoonotic. ,Neutral,3,will SARS-CoV2 infected people develop immunity?
7168,It was recently suggested that ibuprofen might increase the risk for severe and fatal coronavirus disease 2019 (COVID-19) and should therefore be avoided in this patient population.,"Can taking medication to lower fever, such as paracetamol (tylenol) and ibuprofen (advil) worsen COVID-19 ? Yes, you can. There has been a little confusion about the best over the counter treatments for COVID-19 symptoms.",Supports,69,"Can taking medication to lower fever, such as paracetamol (tylenol) and ibuprofen (advil) worsen COVID-19?"
14024,"There is no therapeutic FDA-approved drug against SARS-CoV-2 infection, although a combination of anti-viral drugs is directly being practiced in some countries. ","As several FDA-approved or repurposed drugs are being tested as antiviral candidates at clinics without sufficient information, rapid preclinical animal studies should proceed to identify therapeutic drug candidates with strong antiviral potential and high safety prior to a human efficacy trial.",Neutral,5,are there any drugs that work for SARS-CoV or SARS-CoV-2 in animals?
14202,"The results suggest the effectiveness of Ribavirin, Remdesivir, Sofosbuvir, Galidesivir, and Tenofovir as potent drugs against SARS-CoV-2 since they tightly bind to its RdRp. In addition, the results suggest guanosine derivative (IDX-184), Setrobuvir, and YAK as top seeds for antiviral treatments with high potential to fight the SARS-CoV-2 strain specifically. ","COVID-19 disease, caused by SARS-CoV-2, is known to have three phases of the disease, that of early infection, the lung phase, and the severe hyperinflammatory phase. However, SARS-CoV-2 is not only a lung-tropic virus but also infects the gut cells and vascular endothelium. ",Neutral,5,are there any drugs that work for SARS-CoV or SARS-CoV-2 in animals?
9329,Lock down is found to be the only effective method to control this outbreak and due to the contagious nature of this disease most of the hospitals have stopped elective interventions.,The World Health Organization (WHO) has not officially declared the outbreak of COVID-19 a pandemic,Neutral,104,When was the COVID-19 pandemic declared?
4275,"Depending on the region we analyse, we find that face masks reduced the cumulative number of registered Covid-19 cases between 2.3% and 13% over a period of 10 days after they became compulsory. Assessing the credibility of the various estimates, we conclude that face masks reduce the daily growth rate of reported infections by around 40%.","If you decide to engage in public activities, continue to protect yourself by practicing everyday preventive actions.; Keep these items on hand when venturing out: a mask, tissues, and a hand sanitizer with at least 60% alcohol, if possible.",Supports,44,How much impact do masks have on preventing the spread of the COVID-19?
1542,The cause of most deaths has been acute pneumonia.,flu deaths were 2.7 times higher than Covid-19 at around 19.6 deaths per,Neutral,4,how do people die from the coronavirus?
6242,"Considering its potential benefits and high availability, acetic acid disinfection appears to be a promising adjunctive therapy in cases of non-severe COVID-19 and deserves further investigation.",COVID-19: Even short conversation indoors is dangerous,Neutral,60,Can vinegar help in preventing COVID-19?
4217,"Our simple model shows that modest efficacy of masks could avert substantial mortality in this scenario. Importantly, the effects on mortality became hyper-sensitive to mask-wearing as the effective R approaches 1, i.e. near the tipping point of when the infection trajectory is expected to revert to exponential growth, as would be expected after effective lockdown. Our model suggests that mask-wearing might exert maximal benefit as nations plan their post-lockdown strategies and suggests that mask-wearing should be included in further more sophisticated models of the current pandemic.",masks can not slow the spread of coronavirus,Refutes,44,How much impact do masks have on preventing the spread of the COVID-19?
7589,there is no supporting evidence to discourage the use of ibuprofen.,the use of ibuprofen does lead to more sever coronaviru outcomes,Refutes,69,"Can taking medication to lower fever, such as paracetamol (tylenol) and ibuprofen (advil) worsen COVID-19?"
1332,"Each 1 C rise of temperature was associated with a 4.8951% (t = 2.29, p = 0.0226) decrease in the number of daily cumulative confirmed cases of COVID-19","In the first in a series of conversations on the science of COVID-19, we learn how the hot weather is affecting the movement of the novel coronavirus.",Neutral,2,how does the coronavirus respond to changes in the weather
13067,"we discovered evidence that SARS-CoV-2, along with related coronaviruses, used mutations to evade attack from the human immune system. Overall, we present an immunological resource for SARS-CoV-2 that could promote both therapeutic development and mechanistic research.",A weaker immune system is one reason people with high blood pressure and other health problems are at higher risk for coronavirus.,Neutral,3,will SARS-CoV2 infected people develop immunity?
4634,CONCLUSION The use of IV vitamin C in patients with moderate to severe COVID-19 disease may be feasible.,The virus is man-made:,Neutral,51,Does Vitamin C impact COVID-19 prevention and treatment?
4318,"We make 3 key observations: 1. Masks, even with suboptimal efficacy in both prevention of acquisition and transmission of infection, could substantially decrease the reproduction number for COVID-19 if widely used. 2. Widespread masking may be sufficient to suppress epidemics where R has been brought close to 1 via other measures (e.g., distancing). 3. Assortment within populations (the tendency for interactions between masked individuals to be more likely than interactions between masked and unmasked individuals) would rapidly erode the impact of masks.",disposable ear loop masks do not provide any protection against the novel coronavirus.,Refutes,44,How much impact do masks have on preventing the spread of the COVID-19?
13532,"Based on animal experiments, already acquired data on other coronavirus types and plausibility assumptions, it can be assumed that seroconverted patients have an immunity of limited duration and only a very low risk of reinfection.","Can you boost your immune system to fight COVID-19? We don't yet know how to fully prevent or manage the damage caused by COVID-19, the disease caused by a coronavirus that is new to us all.",Neutral,3,will SARS-CoV2 infected people develop immunity?
9996,Corona Virus Disease-2019 (COVID-19) has spread widely throughout the world since the end of 2019. Nucleic acid testing (NAT) has played an important role in patient diagnosis and management of COVID-19.,using a dryer may be better than hanging the clothes to dry because the heat may also help inactivate any viral microbes.,Neutral,129,Does heat prevent COVID-19?
9512,"Hence, dexamethasone may be useful for the short-term in severe, intubated, COVID-19 patients, but could be outright dangerous during recovery since the virus will not only persist, but the body will be prevented from generating protective antibodies.",Dexamethasone can not improve COVID-19 survival,Supports,112,Is dexamethasone effective for treating COVID-19?
2505,Gustatory Dysfunction as an Early Symptom in COVID-19 Screening,"What are the early warning signs? As Covid-19 is a new virus, experts are still working to understand it.",Neutral,26,what are the early symptoms of COVID-19?
1220,"COVID-19, due to its regular flu-like symptoms, is also expected to show similar seasonality and subside as the global temperatures rise in the northern hemisphere with the onset of spring",Cold weather kills coronavirus 2019 and 13 other COVID-19,Refutes,2,how does the coronavirus respond to changes in the weather
14154,"At this point, the data here presented on hydroxychloroquine either alone or combined with azithromycin (together with previously reported in vivo data in macaques and ferrets) provide no scientific basis for further use of the drug in humans.","camostat mesylate inhibited infection of important target cells - human lung epithelial cells,",Neutral,5,are there any drugs that work for SARS-CoV or SARS-CoV-2 in animals?
3751,A significant negative correlation (p=0.033) has been observed between mean vitamin D levels and COVID-19 cases per one million population in European countries.,Vitamin D deficiency may be linked to COVID-19,Supports,42,Does Vitamin D impact COVID-19 prevention and treatment?
5793,"While it remains much too early to determine precisely how alcohol use might affect risk for or progression of COVID19, any efforts to connect the dots from past alcohol research would suggest it wise for nondrinkers and lowrisk drinkers to maintain that status during this public health crisis.",Spraying and introducing bleach or another disinfectant into your body will not protect you against COVID-19 and can be dangerous.,Supports,55,Can drinking alcohol help in preventing COVID-19?
4619,CONCLUSION The use of IV vitamin C in patients with moderate to severe COVID-19 disease may be feasible.,quercetin and vitamin C is a potential COVID-19 therapy,Refutes,51,Does Vitamin C impact COVID-19 prevention and treatment?
10673,Contacting contaminated nonfabric surfaces may pose an indirect contact risk up to three orders of magnitude higher than that of contacting contaminated fabric surfaces.,coronavirus can live on your clothes and shoes,Neutral,16,touching a contaminated surface will not make you sick
6533,Our findings support a causal effect of elevated BMI and smoking on risk of sepsis and severe covid-19.,smokers are actually less likely to become seriously infected with covid-19,Refutes,63,Can smoking help in preventing COVID-19?
3125,Remdesivir efficacy was not much different in reducing 28-day mortality versus 14-day mortality rates.,Researchers have discovered that the Chloroquine drug is effective at fighting the SARS-CoV-2 virus in studies done in test tubes.,Neutral,30,is remdesivir an effective treatment for COVID-19?
13605,Thus both qualitative and quantitative features of B and T cell immunity to spike constitute informative biomarkers of the protective potential of novel SARS-CoV-2 vaccines.,"Many rheumatoid arthritis patients are on medications that suppress the immune system, making them more vulnerable to infection - but those same drugs could also help fight COVID-19",Neutral,3,will SARS-CoV2 infected people develop immunity?
9139,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)--the virus that causes coronavirus disease (COVID-19)--has been detected in domestic dogs and cats, raising concerns of transmission from, to, or between these animals. There is currently no indication that feline- or canine-to-human transmission can occur, though there is rising evidence of the reverse.",Pets can pass covid-19 to humans,Refutes,95,Can animals spread COVID-19 to people?
13116,"we discovered evidence that SARS-CoV-2, along with related coronaviruses, used mutations to evade attack from the human immune system. Overall, we present an immunological resource for SARS-CoV-2 that could promote both therapeutic development and mechanistic research.",Can you boost your immune system to fight COVID-19? This is the question on everyone's mind as we face a worldwide crisis.,Neutral,3,will SARS-CoV2 infected people develop immunity?
4463,"Various psychological problems and important consequences in terms of mental health including stress, anxiety, depression, frustration, uncertainty during COVID-19 outbreak emerged progressively.","facing the reality that there's no vaccine available yet to prevent the continuous spread of the novel coronavirus, coupled with the still increasing number of positive cases, and not knowing when exactly the virus will be defeated is a daunting prospect for many.",Supports,45,How has the COVID-19 pandemic impacted mental health?
9309,"coronavirus disease 19 (Covid19) was declared a pandemic by the World Health Organization on March 11(th), 2020","The World Health Organization (WHO) on March 11, 2020, has declared the novel coronavirus (COVID-19) outbreak a global pandemic",Supports,104,When was the COVID-19 pandemic declared?
4893,"The majority of documents encouraged the consumption of fruits, vegetables, and whole grain foods. Thirty-one percent of the guidelines highlighted the importance of minerals and vitamins such as zinc and vitamins C, A, and D to maintain a well-functioning immune system.",There is no evidence so far that Covid-19 is man-made or that it is biological terrorism,Neutral,51,Does Vitamin C impact COVID-19 prevention and treatment?
3084,The available evidence suggests that CQ or HCQ does not improve clinical outcomes in COVID-19.,hydroxychloroquine could prevent or treat COVID-19.,Refutes,28,does hydroxychloroquine treat COVID-19?
13687,Knowledge of the molecular mechanisms of viral cycles and immunity is an important prerequisite for the development of vaccination strategies and development of effective drugs.,"In many patients hospitalized with the coronavirus, the immune system is threatened by a depletion of certain essential cells, suggesting eerie parallels with H.I.V.",Neutral,3,will SARS-CoV2 infected people develop immunity?
3283,Cytokine storm in COVID-19 is characterized by an excessive inflammatory response to SARS-CoV-2 that is caused by a dysregulated immune system of the host.,COVID May Trigger 'Cytokine Storm' in Some Cases,Supports,39,what is a cytokine storm and how is it related to COVID-19?
7098,"As fever may have benefit in shortening the duration of viral illness, it is plausible to hypothesize that the antipyretic efficacy of ibuprofen may be hindering the benefits of a fever response when taken during the early stages of COVID-19 illness.",taking ibuprofen is not safe for covid-19 patients since ibuprofen could increase the expression of an enzyme that facilitates SARS-CoV-2 infections.,Refutes,69,"Can taking medication to lower fever, such as paracetamol (tylenol) and ibuprofen (advil) worsen COVID-19?"
1184,"COVID-19, due to its regular flu-like symptoms, is also expected to show similar seasonality and subside as the global temperatures rise in the northern hemisphere with the onset of spring",The weather can affect the spread of coronavirus,Supports,2,how does the coronavirus respond to changes in the weather
1485,"Compared to the recovered group, more patients in the death group exhibited characteristics of advanced age, pre-existing comorbidities, dyspnea, oxygen saturation decrease, increased WBC count, decreased lymphocytes, and elevated CRP levels.",flu deaths were 2.7 times higher than Covid-19 at around 19.6 deaths per,Neutral,4,how do people die from the coronavirus?
10327,"Lignans like podophyllotoxin and bicyclol show strong antiviral activities against different viruses, and essential oils can directly interact with viral membranes and reduce the hosts inflammatory responses (e.g., 1,8-cineol). Echinacea extracts stimulate the immune system, and bioavailable alkamides are key players by interacting with immunomodulating cannabinoid receptors.",Are there natural remedies that will prevent me from getting infected with COVID-19? No,Refutes,154,Are there natural remedies that will prevent me from getting infected with COVID-19?
8190,"Together, this study suggested that medical masks are adequate for use on most social occasions, and both medical masks and N95 masks can be reused for a few days with steam decontamination between use.",A face mask covers your mouth and nose. It can block the release of virus-filled droplets into the air when you cough or sneeze. This helps slow the spread of COVID-19.,Supports,82,Can face masks protect me from the coronavirus disease?
3563,"testing positive for COVID-19 was associated with increasing age(RR(age<50)=1.05,p<0.021;RR(age[]50)=1.02,p<0.064)), non-white race(RR=2.54,p<0.01) and being likely vitamin D deficient (deficient/treatment-not-increased:RR=1.77,p<0.02) as compared to likely vitamin D sufficient(not-deficient/treatment-not-decreased), with predicted COVID-19 rates in the vitamin D deficient group of 21.6%(95%CI[14.0%-29.2%] ) versus 12.2%(95%CI[8.9%-15.4%]) in the vitamin D sufficient group.",Vitamin D cannot fight the coronavirus,Refutes,42,Does Vitamin D impact COVID-19 prevention and treatment?
6485,"Cannabis smoking is linked with poor respiratory health, immunosuppression and multiple contaminants. Potential synergism between the two epidemics would represent a major public health convergence. Cigarettes were implicated with disease severity in Wuhan, China.",Does nicotine help against the new coronavirus? the short answer is NO,Supports,63,Can smoking help in preventing COVID-19?
592,"Being a novel pandemic coronavirus version, it might be ongoing during summer conditions associated with higher air temperatures, low relative humidity and precipitation levels.",Seasonality of SARS-CoV-2: COVID-19 will go away on its own in warmer weather.,Refutes,2,how does the coronavirus respond to changes in the weather
11537," There is currently no vaccine for COVID-19, leaving governments and public health agencies with little defense against the virus aside from advising or enforcing best practices for virus transmission prevention, which include hand-washing, physical distancing, use of face covers, and use of effective disinfectants.","Washing hands often with soap and water for at least 20 seconds is essential, especially after going to the bathroom; before eating; and after coughing, sneezing, or blowing one's nose. If soap and water are not available, CDC recommends consumers use an alcohol-based hand sanitizer that contains at least 60% alcohol.",Supports,19,what hand sanitizers kill COVID-19?
12778,"In this study, we collected blood from COVID-19 patients who have recently become virus-free and therefore were discharged, and analyzed their SARS-CoV-2-specific antibody and T cell responses. We observed SARS-CoV-2-specific humoral and cellular immunity in the patients. Both were detected in newly discharged patients, suggesting both participate in immune-mediated protection to viral infection.","Many rheumatoid arthritis patients are on medications that suppress the immune system, making them more vulnerable to infection - but those same drugs could also help fight COVID-19",Neutral,3,will SARS-CoV2 infected people develop immunity?
12344,"Type 2 diabetic patients were more susceptible to COVID-19 than overall population, which might be associated with hyperglycemia and dyslipidemia.","Your risk of coronavirus with diabetes In general people with diabetes face greater risks of complications when dealing with viral infections like flu, and that is likely to be true with COVID-19",Neutral,24,what kinds of complications related to COVID-19 are associated with diabetes
5428,"Evidence that face masks provide effective protection against respiratory infections in the community is scarce. However, face masks are widely used by health workers as part of droplet precautions when caring for patients with respiratory infections. It would therefore be reasonable to suggest that consistent widespread use of face masks in the community could prevent further spread of the Severe Acute Respiratory Syndrome-Coronavirus 2 (SARS-CoV-2).",Face masks might help protect against the flu in addition to novel coronavirus.,Supports,53,Can wearing masks help in preventing the spread of the coronavirus disease?
9277,"If vitamin D does in fact reduce the severity of COVID-19 in regard to pneumonia/ARDS, inflammation, inflammatory cytokines and thrombosis, it is our opinion that supplements would offer a relatively easy option to decrease the impact of the pandemic.",New findings have confirmed the efficacy of dietary vitamin supplements - including vitamin C and vitamin D - in helping the immune system fight off COVID-19. ,Supports,101,Can I take any vitamins or supplements to prevent COVID-19?
4095,"In Middle East, the recovery rate (r= 0.267) and mortality rate (r= -0.217) showed a medium correlation.",Vitamin D's effect on Covid-19 maybe be exaggerated,Refutes,42,Does Vitamin D impact COVID-19 prevention and treatment?
441,"The COVID19, which appeared to originate in China in December 2019, has spread worldwide pandemically.",There is much more to coronaviruses than SARS-CoV-2. Coronaviruses are actually a family of hundreds of viruses.,Neutral,1,what is the origin of COVID-19
9870,Evidence on mask effectiveness for respiratory infection prevention is stronger in health care than community settings.,"surgical masks are effective barriers in preventing people from discharging infectious particles, at least quantity-wise.",Supports,125,Does a surgical mask help avoid COVID-19?
13405,"Based on animal experiments, already acquired data on other coronavirus types and plausibility assumptions, it can be assumed that seroconverted patients have an immunity of limited duration and only a very low risk of reinfection.",The Coronavirus Patients Betrayed by Their Own Immune Systems.,Neutral,3,will SARS-CoV2 infected people develop immunity?
4831,"The majority of documents encouraged the consumption of fruits, vegetables, and whole grain foods. Thirty-one percent of the guidelines highlighted the importance of minerals and vitamins such as zinc and vitamins C, A, and D to maintain a well-functioning immune system.","Coronaviruses, like the one that causes COVID-19, are thought to spread mostly person-to-person through respiratory droplets when someone coughs, sneezes, or talks",Neutral,51,Does Vitamin C impact COVID-19 prevention and treatment?
12039,"Myocardial injury is significantly associated with fatal outcome of COVID-19, while the prognosis of patients with underlying CVD but without myocardial injury is relatively favorable. Myocardial injury is associated with cardiac dysfunction and arrhythmias. Inflammation may be a potential mechanism for myocardial injury.",The novel coronavirus mainly attacks the lungs.,Neutral,22,are heart complications likely in patients with COVID-19?
6194,"The findings of the present study need in vivo experiments to prove the utility of ""I"", ""F"",""D"" and ""E"" compounds and their further use in making herb-based anti-SARS-CoV-2 product in near future",Can Ginger Tea Treat COVID-19 Within Three Days? No Absolutly not,Supports,58,Can drinking hot green tea help in preventing COVID-19?
13525,"Based on animal experiments, already acquired data on other coronavirus types and plausibility assumptions, it can be assumed that seroconverted patients have an immunity of limited duration and only a very low risk of reinfection.",Symptoms of COVID-19 can range from mild symptoms to severe illness and death.,Neutral,3,will SARS-CoV2 infected people develop immunity?
6388,"Future research is needed to establish the mechanisms involved in each comorbidity and the apparent ""protective"" effect of cigarette smoking.",Smokers seem less likely than non-smokers to fall ill with coronavirus,Neutral,63,Can smoking help in preventing COVID-19?
8790,"Also, SARS-COV-2 transmission through food, food packages, and food handlers has not been identified as a risk factor for the disease.","At this time, there is no evidence of transmission of the COVID-19 virus, a respiratory virus, through food or food packaging",Supports,90,Can COVID-19 spread through food?
8527,Our results indicate that surgical face masks could prevent transmission of human coronaviruses and influenza viruses from symptomatic individuals.,A face mask covers your mouth and nose. It can block the release of virus-filled droplets into the air when you cough or sneeze. This helps slow the spread of COVID-19.,Supports,82,Can face masks protect me from the coronavirus disease?
7869,"Male, aged over 65, smoking patients might face a greater risk of developing into the critical or mortal condition and the comorbidities such as hypertension, diabetes, cardiovascular disease, and respiratory diseases could also greatly affect the prognosis of the COVID-19.",Smoking marijuana could make the lungs more susceptible to covid-19,Supports,75,Can smoking cannabis (weed) help in preventing COVID-19?
9980,"Of note, 44.12% of the detected IgM levels were dropped below the cutoff value after heating, suggesting heat inactivation can lead to false-negative results of these samples.",using a dryer may be better than hanging the clothes to dry because the heat may also help inactivate any viral microbes.,Supports,129,Does heat prevent COVID-19?
9665,A high prevalence of obesity in patients with severe COVID-19 requiring invasive mechanical ventilation was recently reported.(1),Some say that's not a problem because the vast majority of children don't get severely ill from COVID-19.,Neutral,116,Can children get COVID-19?
14272,"When used for prophylaxis or treatment neither the standard human malaria dose (6.5 mg/kg) nor a high dose (50 mg/kg) of HCQ had any beneficial effect on clinical disease or SARS-CoV-2 kinetics (replication/shedding) in the Syrian hamster disease model. Similarly, HCQ prophylaxis/treatment (6.5 mg/kg) did not significantly benefit clinical outcome nor reduce SARS-CoV-2 replication/shedding in the upper and lower respiratory tract in the rhesus macaque disease model. In conclusion, our preclinical animal studies do not support the use of HCQ in prophylaxis/treatment of COVID-19.","COVID-19 disease, caused by SARS-CoV-2, is known to have three phases of the disease, that of early infection, the lung phase, and the severe hyperinflammatory phase. However, SARS-CoV-2 is not only a lung-tropic virus but also infects the gut cells and vascular endothelium. ",Neutral,5,are there any drugs that work for SARS-CoV or SARS-CoV-2 in animals?
2820,"hydroxychloroquine with or without azithromycin showed benefits in positive-to-negative conversion of SARS-CoV-2 (odds ratio [OR], 1.95 [95% CI,0.19 to 19.73] and a reduction in progression rate (OR, 0.89 [95% CI, 0.58 to 1.37]), but without demonstrating any statistical significance.",Hydroxychloroquine has been touted as a possible treatment for COVID-19 but it remains controversial as some experts believe it is unproven and may not be effective.,Neutral,28,does hydroxychloroquine treat COVID-19?
12390,"Older age, diabetes and other comorbidities are reported as significant predictors of morbidity and mortality. Chronic inflammation, increased coagulation activity, immune response impairment, and potential direct pancreatic damage by SARS-CoV-2 might be among the underlying mechanisms of the association between diabetes and COVID-19.","While having diabetes may put you at higher risk for COVID-19-related complications, there are ways to reduce that risk.",Supports,24,what kinds of complications related to COVID-19 are associated with diabetes
10261,"In this article, we have tried to reach a therapeutic window of drugs available to patients with COVID19.","The coronavirus pandemic can be dramatically slowed, or stopped completely, with the immediate widespread use of favipiravir",Neutral,148,Can favipiravir help treat COVID-19?
